Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,Ti Ox%,K Ox%,Cr Ox%,
95,29.73224,54.90002,2.286236,0.298232,11.18924,0.124781,0.316937,0.004192,0.47338,
95.5,29.52907,54.16728,2.28336,0.214291,11.23006,0.118969,0.310847,0.004435,0.507889,
96,29.53169,54.44558,2.368066,0.281337,11.52391,0.099887,0.296434,0.014617,0.443411,
96.5,29.52618,54.40558,2.284634,0.250087,11.09396,0.03037,0.329349,0.010369,0.441303,
97,29.56936,54.79789,2.333074,0.218724,10.96868,0.116284,0.340778,-0.010716,0.563308,
97.5,29.45251,54.4788,2.262188,0.249079,11.17973,0.095414,0.361145,-0.003316,0.493573,
98,29.46218,54.55969,2.311947,0.256119,11.06652,0.025801,0.29843,-0.004114,0.443664,
98.5,29.57861,54.54818,2.221063,0.266271,11.13747,0.013191,0.354719,-0.002814,0.509098,
99,29.52521,54.60571,2.242113,0.240974,11.02241,0.107099,0.350696,0.041319,0.473855,
99.5,29.54966,54.54125,2.263525,0.239597,11.21405,0.050417,0.396727,-0.009722,0.422086,
100,29.51244,54.88455,2.309758,0.268159,11.08831,0.144731,0.302107,-0.011136,0.429894,
100.5,29.48996,54.61495,2.20342,0.250638,11.13775,0.016955,0.254765,0.001039,0.434038,
101,29.80551,54.58075,2.279593,0.20393,11.23849,0.064332,0.307124,0.014738,0.452703,
101.5,29.78061,54.88473,2.282835,0.258655,11.1382,0.065533,0.29458,0.036139,0.411075,
102,29.67076,54.76826,2.123653,0.286892,11.09038,0.039256,0.228449,0.037694,0.491447,
102.5,29.58249,54.87124,2.216655,0.278273,11.13579,0.02159,0.265814,0.015297,0.412118,
103,29.75314,55.01788,2.217464,0.203486,10.98209,0.146765,0.275718,-0.014018,0.469118,
103.5,29.56108,54.83031,2.291425,0.248548,10.97308,0.125363,0.184952,-0.000351,0.372756,
104,29.72336,54.47787,2.288268,0.2805,11.01681,0.090047,0.255637,0.011786,0.455463,
104.5,29.76662,54.79152,2.214009,0.284263,11.27058,-0.018483,0.225613,-0.011331,0.427806,
105,29.73066,54.87614,2.264653,0.332142,11.03919,0.069459,0.26773,0.037082,0.402421,
105.5,29.52727,54.71697,2.258326,0.175951,11.17463,0.130844,0.215809,0.030227,0.395781,
106,29.59456,54.90189,2.282632,0.204458,11.02722,0.182454,0.345729,0.004318,0.511488,
106.5,29.52631,54.58022,2.290305,0.209411,11.20441,0.007028,0.325078,0.002128,0.422705,
107,29.77889,54.59176,2.161565,0.221795,11.11871,0.042299,0.247419,0.033814,0.40767,
107.5,29.59419,54.79606,2.186687,0.204654,11.02304,0.08001,0.317044,0.009812,0.482647,
108,29.81878,54.87562,2.193647,0.232124,11.08759,0.112077,0.206526,-0.001381,0.432342,
108.5,29.62774,54.71727,2.223113,0.249351,11.06767,0.096838,0.269873,0.022416,0.471556,
109,29.73187,54.80028,2.212928,0.249624,11.07187,0.003073,0.369339,0.036364,0.522787,
109.5,29.5697,54.72066,2.258416,0.211226,11.20359,0.046496,0.312731,0.036018,0.475275,
110,29.5813,54.80721,2.25065,0.242325,10.83076,0.106191,0.28819,-0.007153,0.436348,
110.5,29.56602,54.81206,2.204552,0.221923,11.03612,0.084449,0.278646,0.003069,0.473706,
