Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,Al Ox%,Ti Ox%,K Ox%,
92.5,43.81462,39.32756,0.235527,0.238983,16.14104,0.294685,0.508399,0.078603,-0.013588,
93,44.07582,39.18011,0.200552,0.19469,15.89186,0.241935,0.619637,0.04598,-0.00739,
93.5,43.68036,39.22515,0.234852,0.162932,16.18002,0.295937,0.503313,0.03691,-0.031498,
94,43.89652,39.12237,0.222463,0.188963,16.1349,0.345982,0.507595,0.013043,0.020705,
94.5,44.00789,38.96729,0.206804,0.237757,16.02999,0.229804,0.591769,0.003936,0.009951,
95,43.41626,39.17195,0.21623,0.234936,15.95482,0.326936,0.535443,0.036835,0.010067,
95.5,43.7429,39.43394,0.268483,0.255052,16.33431,0.269324,0.569662,0.056712,-0.006203,
96,43.87307,39.20188,0.256539,0.242786,15.84369,0.32556,0.573256,0.045379,0.00835,
96.5,43.8586,39.19028,0.222202,0.223364,16.04577,0.227425,0.536936,0.000196,0.031553,
97,43.94328,39.41325,0.223827,0.206435,16.25932,0.300063,0.556656,0.099373,0.013922,
97.5,43.63202,39.05099,0.215597,0.212338,15.99385,0.219735,0.564738,0.010599,-0.006857,
98,43.57962,39.16813,0.231178,0.275265,16.06837,0.356136,0.536947,0.000322,-0.002042,
98.5,43.74587,39.40511,0.22252,0.220976,16.17812,0.26222,0.531842,-0.011546,-0.000753,
99,43.60996,39.06767,0.253738,0.245897,16.03129,0.205764,0.60999,0.001382,-0.006245,
99.5,43.6773,39.09903,0.234717,0.297368,16.02077,0.285496,0.555149,-0.011242,0.012811,
100,43.57617,39.00864,0.190725,0.1715,16.23783,0.241733,0.588461,-0.004781,0.054861,
100.5,43.54859,39.26785,0.242288,0.248776,16.0037,0.269826,0.545597,-0.003666,0.005598,
101,43.77487,39.41275,0.241363,0.273592,16.27719,0.233909,0.544219,0.019645,-0.001387,
101.5,43.61985,39.14222,0.253134,0.218038,16.41286,0.265068,0.479566,0.036331,0.00811,
102,43.61336,38.96614,0.235082,0.248696,16.36923,0.208344,0.525444,0.0466,0.02056,
102.5,43.48591,39.12273,0.215606,0.274282,16.2155,0.263324,0.524519,-0.008151,-0.017796,
103,43.55918,39.26603,0.208017,0.193749,16.64239,0.270171,0.561951,0.016842,-0.029048,
103.5,43.48774,39.06821,0.238897,0.196726,16.56584,0.31941,0.552609,0.029369,-0.036851,
104,43.47692,39.05953,0.24316,0.25525,16.36469,0.276594,0.539461,0.011289,0.011682,
104.5,43.33231,39.1004,0.244064,0.22006,16.49063,0.253493,0.561257,-0.02634,-0.003341,
105,43.4936,39.17646,0.222024,0.269066,16.43042,0.347697,0.536741,0.028435,-0.000679,
105.5,43.45813,39.10261,0.269001,0.285606,16.37196,0.255922,0.484511,0.021895,-0.004093,
106,43.31277,39.44971,0.249415,0.278386,16.59803,0.347024,0.567578,-0.042023,0.01813,
106.5,43.4011,39.26514,0.235039,0.217347,16.91054,0.306624,0.58901,-0.02753,-0.023738,
107,43.30778,39.12202,0.269923,0.2061,16.64959,0.251874,0.6511,0.011996,0.004819,
107.5,43.04645,38.98093,0.285115,0.239651,16.63958,0.244959,0.578349,0.070937,0.023004,
108,43.25344,38.90463,0.24377,0.283414,16.78868,0.253789,0.546614,0.04853,0.003298,
108.5,43.05264,39.14999,0.291212,0.186538,16.56959,0.274878,0.596098,0.01369,0.017341,
109,43.00237,39.04913,0.309853,0.256474,16.69977,0.177498,0.609754,-0.026415,0.014828,
109.5,42.76181,39.12373,0.276127,0.251878,16.71104,0.209028,0.633163,0.05416,0.021771,
110,43.12622,39.215,0.261193,0.24639,16.87911,0.348729,0.546196,0.054547,0.015303,
110.5,43.23448,38.84376,0.25155,0.30458,17.01905,0.322306,0.613701,0.071775,0.011131,
111,42.88112,39.04705,0.320806,0.215262,16.68946,0.248864,0.561826,0.062232,-0.015836,
111.5,42.79735,38.71167,0.291912,0.25941,16.84313,0.217288,0.621148,0.108184,-0.005309,
112,42.74548,39.04838,0.23799,0.203493,17.07656,0.192716,0.602589,0.061013,0.035568,
112.5,42.64455,39.02808,0.300474,0.314256,16.98682,0.235349,0.679179,0.032976,0.016071,
113,42.67543,39.09142,0.280401,0.29076,17.12037,0.283911,0.576839,0.005708,-0.002418,
113.5,42.55033,39.12816,0.259992,0.251422,17.14835,0.241704,0.691449,0.083171,-0.003222,
114,42.76458,39.19411,0.324316,0.295839,17.15554,0.210044,0.563155,0.028157,-0.016417,
114.5,42.62999,38.97756,0.248229,0.268292,17.16882,0.188712,0.622897,0.028022,-0.031369,
115,42.54722,38.79927,0.280335,0.179386,17.25801,0.232726,0.633687,-0.003845,-0.006921,
115.5,42.39481,38.86522,0.299112,0.23871,17.21791,0.220274,0.671121,0.011762,-0.013148,
116,42.48564,38.91186,0.306013,0.298904,17.4212,0.259277,0.668981,0.028196,0.016474,
116.5,42.34872,38.88646,0.279144,0.299925,17.46131,0.241081,0.657015,0.028371,0.034218,
117,42.24894,38.74775,0.264732,0.279959,17.60112,0.102171,0.59548,-0.000614,-0.01578,
117.5,42.1714,38.71448,0.295945,0.203869,17.64732,0.207517,0.678814,0.053457,-0.011179,
118,42.21777,38.98753,0.294404,0.299578,17.61848,0.247203,0.592795,0.030871,-0.010356,
118.5,41.71876,38.77478,0.318436,0.294115,17.46788,0.187597,0.583567,0.033423,-0.009305,
119,42.26942,38.85867,0.309213,0.261879,17.52895,0.17028,0.559708,-0.058552,-0.030098,
119.5,42.11589,38.90062,0.305845,0.283879,17.60884,0.286438,0.637719,-0.008192,-0.039245,
120,41.7648,38.6155,0.333915,0.222447,17.58673,0.211355,0.591253,0.071709,0.021852,
120.5,42.01379,38.86507,0.296841,0.231112,17.65018,0.193851,0.610853,0.130574,0.038018,
121,41.97576,38.85125,0.305665,0.308761,17.79218,0.27948,0.665937,0.022976,-0.000929,
121.5,42.07878,38.91743,0.268208,0.24051,17.78334,0.25105,0.639339,0.06726,0.023516,
122,41.91063,38.61266,0.286458,0.280219,17.62474,0.169326,0.651686,0.038323,-0.004199,
122.5,41.97931,38.70575,0.310517,0.233562,17.61155,0.244361,0.652524,0.027248,0.014072,
123,42.21649,38.785,0.34517,0.336218,17.49169,0.26626,0.596092,0.015307,-0.048898,
123.5,41.96326,38.96706,0.363163,0.285033,17.62607,0.197575,0.643574,0.000682,0.009008,
124,41.88868,38.52686,0.32119,0.260435,17.69888,0.272836,0.602338,-0.013814,-0.008892,
124.5,41.6986,38.77385,0.31416,0.259814,17.69097,0.187821,0.694316,0.056098,-0.021638,
125,41.75297,38.17582,0.274663,0.211104,17.78733,0.234936,0.603115,0.040377,0.024888,
125.5,41.72387,38.85815,0.309736,0.311168,17.94711,0.175087,0.628586,0.060387,0.001558,
126,41.4157,38.62808,0.325407,0.275269,17.69949,0.163976,0.649908,0.033928,0.014599,
126.5,41.30044,38.82423,0.359277,0.309759,17.92436,0.21377,0.618796,0.034533,-0.000599,
127,41.0643,39.14135,0.485518,0.264268,17.95607,0.205711,1.035488,0.063444,0.017984,
127.5,39.45975,39.18554,0.897524,0.23545,17.59598,0.19524,1.712165,0.191938,0.043109,
128,36.3722,40.79068,1.894692,0.295554,17.12552,0.175715,3.121705,0.417052,0.082266,
128.5,28.53839,42.92447,3.834557,0.185983,15.13778,0.035277,5.997483,0.897861,0.224949,
129,13.35794,45.12471,7.178387,0.242472,11.47589,-0.01575,10.5788,1.650227,0.437828,
129.5,7.395167,47.90549,9.063092,0.195245,10.04672,-0.032244,12.9451,2.174337,0.416673,
130,6.102262,49.69605,9.922216,0.24629,10.24959,0.056191,13.71005,2.246883,0.402598,
130.5,5.528722,50.48546,10.1193,0.149098,10.38926,0.099309,14.19489,2.202688,0.409677,
131,5.50001,51.13004,10.29937,0.261354,10.5331,-0.034967,14.10851,2.264719,0.404192,
131.5,5.359185,50.81094,10.53179,0.141427,10.80187,-0.036291,14.04309,2.240325,0.395642,
132,5.498393,50.68133,10.42615,0.194941,10.95651,0.062932,14.01764,2.307146,0.416426,
132.5,5.688221,50.6963,10.52619,0.211754,10.89889,0.004318,14.16627,2.198253,0.411485,
133,5.726037,50.42611,10.41324,0.159038,10.85635,0.029851,13.96731,2.31502,0.37876,
133.5,5.846158,50.50124,10.45761,0.166973,11.00575,-0.002017,13.75718,2.15363,0.350265,
