Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,Ti Ox%,Cr Ox%,
138,29.39048,54.23705,2.295925,0.172183,11.20167,0.163103,0.357699,0.482623,
139,29.53753,54.27359,2.275381,0.210022,11.13447,0.113959,0.334274,0.487786,
140,29.45304,54.19248,2.283253,0.245594,11.20928,0.086954,0.297916,0.603268,
141,29.61518,54.26016,2.279455,0.20573,10.94516,-0.045434,0.333964,0.580071,
142,29.59029,54.20956,2.170738,0.258639,11.10033,0.016034,0.342244,0.549358,
143,29.55282,54.50132,2.265713,0.291078,11.15579,0.010413,0.330142,0.53853,
144,29.65446,54.41037,2.316295,0.241106,11.19672,0.036569,0.401047,0.514361,
145,29.63595,54.3863,2.275484,0.267944,11.04245,0.114903,0.382631,0.502891,
146,29.4953,54.20705,2.296844,0.185582,11.14894,0.049284,0.337381,0.508203,
147,29.53858,54.31643,2.228933,0.27393,11.10201,0.116339,0.316021,0.568623,
148,29.34519,54.37583,2.30659,0.228003,10.98805,0.187753,0.320628,0.529706,
149,29.5697,54.46782,2.25572,0.215872,11.20957,0.065243,0.266778,0.56152,
150,29.50731,54.72648,2.282275,0.294773,11.09795,0.102052,0.33649,0.462366,
151,29.44164,54.21265,2.139958,0.270671,11.23293,0.065853,0.326329,0.491221,
152,29.67791,54.50255,2.196168,0.223753,11.1289,0.130182,0.269187,0.520342,
153,29.5099,54.25919,2.203977,0.230006,11.0903,0.051633,0.318444,0.57675,
154,29.66921,54.73265,2.198836,0.210139,11.19494,0.070932,0.320895,0.528167,
155,29.52562,54.21564,2.176226,0.163639,11.04998,0.069811,0.314732,0.542463,
156,29.58483,54.42562,2.239012,0.228201,11.04667,0.144294,0.297911,0.566396,
157,29.41691,54.42274,2.220381,0.175348,11.17638,-0.013629,0.319378,0.533118,
158,29.41942,54.92673,2.328928,0.141341,11.05315,0.004299,0.283116,0.553862,
159,29.51435,54.69587,2.290897,0.267011,10.99495,0.07301,0.354935,0.51241,
160,29.53838,54.36974,2.27009,0.260092,11.1783,0.105417,0.351376,0.596434,
161,29.53077,54.5397,2.220378,0.191352,11.03933,0.122363,0.320228,0.498599,
162,29.44184,54.26942,2.219078,0.241697,10.96291,0.111608,0.310852,0.532811,
163,29.65325,54.73021,2.315429,0.237867,11.04298,0.153033,0.315556,0.560158,
